Territoire;Statut;Date - Heure;Production totale (MW);Thermique (MW);Bagasse/charbon (MW);Hydraulique (MW);Photovoltaïque (MW);Photovoltaïque avec stockage (MW);Eolien (MW);Bioénergies (MW);Batteries (MWh);Coût moyen de production (€/MWh)
Réunion;Validé;2018-08-22T17:00:00+04:00;373.2724889;109.7177478;174.9469765;76.53325003;6.68568084;1.54353986;1.307739714;2.055554158;0.482;
Réunion;Validé;2018-08-15T21:00:00+04:00;330.4971633;62.77454091;186.0511395;75.48724146;-0.291761374;0.001823671;3.792912935;1.794266227;0.887;
Réunion;Validé;2018-08-23T04:00:00+04:00;244.4518977;61.82599112;148.3173853;31.49619007;-0.36418441;-0.07618503800000001;1.1978147350000001;2.054885902;0.0;
Réunion;Validé;2018-09-27T01:00:00+04:00;249.1771319;86.93881286;119.7491521;39.94262657;-0.38158083200000004;-0.08421207900000001;1.423333333;1.589;0.0;
Réunion;Validé;2018-08-24T03:00:00+04:00;238.0731156;78.19618531;120.1913562;37.52451286;-0.37246132800000004;-0.07516378700000001;0.585709688;2.022976698;0.0;
Réunion;Validé;2018-09-27T12:00:00+04:00;387.3511706;131.2872548;122.2763075;42.4516072;78.0202123;8.672455497;2.839166667;1.804166667;0.0;
Réunion;Validé;2018-08-25T07:00:00+04:00;299.696324;47.47399062;152.5854326;83.54838867;11.00209379;1.931792782;1.50570491;1.648920639;0.0;
Réunion;Validé;2018-09-29T08:00:00+04:00;343.2549202;66.20214493;128.7192488;72.74055329;65.34650155;7.257638285;1.329166667;1.6596666670000002;0.0;
Réunion;Validé;2018-08-25T19:00:00+04:00;397.0340403;128.534647;169.591792;92.76799024;0.587661207;0.8390781190000001;2.182796001;1.6440757860000002;0.886;
Réunion;Validé;2018-08-25T21:00:00+04:00;343.5008958;110.5240605;165.1352481;63.70054446;-0.28451907;-0.014165709;1.910990621;1.641736891;0.887;
Réunion;Validé;2018-08-26T00:00:00+04:00;258.51779;22.00649514;173.0196951;60.45326781;-0.37556517300000003;-0.078187936;1.849011644;1.6430734020000002;0.0;
Réunion;Validé;2018-09-30T12:00:00+04:00;317.9782809;59.57079621;126.1126106;48.8093781;73.57296611;8.306196511;-0.046333333000000004;1.652666667;0.0;
Réunion;Validé;2018-08-26T06:00:00+04:00;233.69971;11.53603346;156.8534809;61.82336644;0.276242152;-0.075179902;1.6418581890000001;1.643908722;0.0;
Réunion;Validé;2018-10-01T11:00:00+04:00;388.7531477;123.5520595;143.3044719;43.61488383;68.09865445;8.045594573;0.19265015100000002;1.944833333;0.0;
Réunion;Validé;2018-08-26T14:00:00+04:00;280.0292253;12.43633689;144.0171648;35.616027270000004;75.89934176;8.499441288;1.922517709;1.6383956130000001;0.0;
Réunion;Validé;2018-10-02T19:00:00+04:00;426.1049733;173.7251829;149.8012928;98.4763218;0.173076169;0.443069963;0.9678630060000001;1.632166667;0.886;
Réunion;Validé;2018-08-30T01:00:00+04:00;244.3908419;61.35881133;140.1756003;41.54925289;-0.36211518;-0.070155759;0.752935985;0.9865122970000001;0.0;
Réunion;Validé;2018-10-04T22:00:00+04:00;351.0891604;117.7244156;146.052372;83.66813632;-0.372376001;-0.08522012500000001;1.562665913;1.652166667;0.887;
Réunion;Validé;2018-08-30T14:00:00+04:00;371.7360893;66.17760748;165.8085703;44.4099954;81.07241576;8.313457749;4.1114949020000005;1.8425476920000001;0.0;
Réunion;Validé;2018-10-06T23:00:00+04:00;303.6312549;139.4723497;92.54247204;69.0641227;-0.397550716;-0.100248243;0.44277603800000004;1.8003333330000002;0.807;
Réunion;Validé;2018-08-31T10:00:00+04:00;385.0454204;57.92364523;181.7831009;39.34278172;90.83711025;8.204565171;5.438613487;1.5156036510000002;0.0;
Réunion;Validé;2018-08-31T14:00:00+04:00;363.0056537;61.32332492;185.6549976;49.67763115;53.83928498;5.533462718;4.917054546;2.059897819;0.0;
Réunion;Validé;2018-10-07T21:00:00+04:00;329.2416981;116.6788516;134.717736;75.47343446;-0.26538346;0.016803431;-0.061910592;1.796166667;0.886;
Réunion;Validé;2018-09-01T11:00:00+04:00;362.3406491;31.51366096;179.9453415;31.69359609;103.3916786;8.535371915;5.668333333;1.592666667;0.0;
Réunion;Validé;2018-10-08T10:00:00+04:00;389.5350381;116.9450709;120.3527428;43.84615902;98.11950272;8.598443271;0.06811939;1.6019999999999999;0.003;
Réunion;Validé;2018-09-03T01:00:00+04:00;216.8065339;28.80615148;148.0418595;36.38747298;-0.366944855;-0.07317185100000001;2.9314999999999998;1.079666667;0.0;
Réunion;Validé;2018-10-09T22:00:00+04:00;353.6986937;127.5974534;136.1425149;81.82385637;-0.38391441200000004;-0.09424536300000001;6.025195563;1.700833333;0.887;
Réunion;Validé;2018-10-10T13:00:00+04:00;392.2791487;103.6787411;90.95122859;88.20111119;93.65833334;6.747567105;8.047667361;0.9945;0.0;
Réunion;Validé;2018-09-04T00:00:00+04:00;258.6585964;89.4803161;124.1381662;42.49884193;-0.373217416;-0.07417699200000001;2.105333333;0.883333333;0.0;
Réunion;Validé;2018-10-11T00:00:00+04:00;267.3851817;76.65535593;116.530503;67.75379837;-0.39230598400000005;-0.09525342;5.979250454;0.9538333330000001;0.0;
Réunion;Validé;2018-09-04T17:00:00+04:00;366.0430923;149.2925948;123.909322;70.0575348;12.38099121;5.82131618;2.426333333;1.669;0.486;
Réunion;Validé;2018-10-11T18:00:00+04:00;412.5507722;193.5439342;128.2745812;77.06170517;4.111870203;4.041171372;2.929843366;1.706666667;0.881;
Réunion;Validé;2018-09-05T02:00:00+04:00;226.7146719;80.51876591;98.91840308;44.94873315;-0.358581439;-0.06814882600000001;1.502;1.2535;0.0;
Réunion;Validé;2018-10-12T07:00:00+04:00;371.9735671;92.4107284;144.9404506;93.47314066;34.749499;3.697557863;1.654023949;1.048166667;0.0;
Réunion;Validé;2018-09-05T17:00:00+04:00;358.8600408;203.2057103;78.93995788;63.89253642;7.326351974;0.420984271;2.8685;1.724;0.482;
Réunion;Validé;2018-10-13T17:00:00+04:00;342.9304404;134.8513453;135.6697919;45.35475783;17.08628922;7.223066322;0.405523246;1.836666667;0.503;
Réunion;Validé;2018-09-06T14:00:00+04:00;371.2040983;107.3094411;109.5644496;61.59891366;77.99616748;8.65245976;4.401;1.681666667;0.0;
Réunion;Validé;2018-09-07T05:00:00+04:00;277.8775187;110.646172;108.4290994;56.41899228;-0.374262843;-0.066148838;1.639;1.1846666670000001;0.0;
